ID,RQ4
1,The paper addresses interpretability by proposing a Genetic Causal Explainer (GCE) that provides post hoc explanations for DLKT models. It focuses on causal relationships between inputs and outputs to improve explanation fidelity
2,No
3,No
4,No
5,"Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
6,No process-level interpretability
7,No
8,"Simple generic XAI rule

We mainly analyze how the model input question-answer records influence the model output, i.e., the predictions on learners� future performance. In particular, we consider the effects of both the skill information (i.e., the specific skill being tested) and temporal information (i.e., when the exercise was completed) on the model�s decision.We selected correctly-predicted sequences and set the skill and position of the last record in each sequence as the target skill and prediction position. Then each question-answer record in the sequence was tagged as either Same skillor Different skillbased on whether its skill matched the target skill, and Recent(i.e., the first half QA records) and Distant(i.e., the second half QA records) based on its distance from the prediction position. This resulted in four groups (i.e., 2 _ 2): Distant & Same skill, Distant & Different skill, Recent & Same skill, and Recent & Different skill. For each group, the absolute relevance of each question-answer record was summed to compute the mean. We computed and compared the mean of four groups among all correctly-predicted sequences across the five DLKT models in the ASSISTment2009 and ASSISTment2015 datasets.(a) ASSISTment2009 (b) ASSISTment2015Figure 4.Skill-distance relevance comparison for RNN-based DKT.(a) ASSISTment2009 (b) ASSISTment20157
The results, shown in Figure 4, 5, 6, 7, and 8, indicate that for all five DLKT models, the recent-same-skill records (i.e., records that are close to the prediction position and on the target skill) have the highest relevance to the prediction, while those distant-different-skillrecords (i.e., records that are far from the prediction position and on non-target skills) have the lowest relevance."
9,No
10,No process-level interpretability
11,"They explicitly note that they employ SHAP for feature-level interpretability (�the importance and contribution of each feature�), meaning they examine how each input feature pushes the prediction higher or lower.

They stress how these per-sample SHAP explanations enable understanding of why the model predicts a certain way for each question�giving teachers or systems a process-level view (�the journey�), rather than merely a final probability of skill mastery."
12,"Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
13,No
14,No
15,No
16,No
17,"Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
18,No
19,"""To validate whether the introduced features influence changes in learners� knowledge states, this study utilized SHAP (SHapley Additive exPlanations) values to quantify the contributions of the two features to the model output. Therefore, the integration of question difficulty and forgetting factors into the GNN-based model in this study has positively contributed to enhancing the model�s interpret ability."""
20,"Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
21,"Deep SHAP method, a local xAI approach, to interpret complex KT models"
22,No
23,No
24,No
25,No
26,"Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
27,No
28,No
29,No
30,No process-level interpretability
31,Feature attr.
32,No process-level interpretability
33,No process-level interpretability
34,No
35,No
36,No
37,No
38,No
39,No
40,No
41,No
42,No
43,No
44,No
45,"we design an IRT based prediction layer to enhance the prediction interpretability of the proposed QIKT mode

Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
46,Interpretability using t-SNE ( visualizing embedding strategies)
47,No
48,No
49,No
50,"using an attention network to assign unique weights to each feature, highlighting their importance in predictions. This is more like global explaination not local

Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap"
51,No
52,No
53,No
54,No process-level interpretability
55,No
56,No
57,No
58,No
59,No
60,"The paper addresses interpretability by critiquing existing DLKT methods for their opacity and lack of focus on the learning process. It introduces GRKT, which uses a graph-based approach and pedagogical theories to model the learning process in a more interpretable way, focusing on process-level interpretability. This is achieved through a three-stage modeling process that provides insights into how knowledge mastery evolves."
61,No process-level interpretability
62,No
63,No
64,No
65,No
66,No
67,No
68,No process-level interpretability
69,No
70,"Specifically, when he or she answers a question correctly (incorrectly), his or her knowledge state of the corresponding latent concept increases (decreases). For example, he or she acquires knowledge of the concept �multiplication and division of fractions� after successfully completing the question in the third exercise step. Subsequent questions reveal a gradual grasp of this concept, contrasting with a lack of understanding of �factors and highest common factor.� Because he or she completed all the questions on �multiplication and division of fractions�, but skipped some related to �factors and highest common factor.� However, an inconsistency arises: in the third exercise step, despite answering the questions correctly, his or her mastery of �factors and highest common factor� decreased slightly. This discrepancy is due to the model�s inability to trace the student accurately, especially when there are limited exercise records at the beginning. Improved performance could be achieved if the student accumulates more exercise records over subsequent steps."
71,"The paper addresses interpretability by using Grad-CAM, and t-SNE to analyze and visualize the model's attention mechanisms and embedding strategies."
72,No
73,No
74,No process-level interpretability
75,No
76,No
77,No
78,No
79,No
80,No
81,"The paper addresses interpretability by using temporal convolutional networks and graph attention networks to capture temporal features and relationships between learning resources, and by employing an Actor-Critic reinforcement learning method to simulate real educational scenarios. This approach aims to make personalized learning path recommendations more understandable and aligned with learners' goals and dynamic features. Interpretability is evaluated through experiments demonstrating the model's ability to adapt to learners' changing knowledge states and goals.


No process-level interpretability"
82,No
83,No process-level interpretability
84,No process-level interpretability
